,Actual,Susceptible,Infectious,Recovered,Date
2020-09-08,,3857.3681118515055,1.338497573050228e-06,6142.631886809999,2020-09-08
2020-09-09,,3857.368111978043,1.4233074185067544e-06,6142.631886598651,2020-09-09
2020-09-10,,3857.3681118593836,1.3437775756683495e-06,6142.63188679684,2020-09-10
2020-09-11,,3857.3681114693754,1.0823799471721652e-06,6142.631887448246,2020-09-11
2020-09-12,,3857.3681109633458,7.432200622559022e-07,6142.631888293436,2020-09-12
2020-09-13,,3857.3681104292473,3.8524758998936294e-07,6142.631889185506,2020-09-13
2020-09-14,,3857.368109931456,5.160928078249121e-08,6142.631890016936,2020-09-14
2020-09-15,,3857.36810952047,-2.2384824712651652e-07,6142.631890703379,2020-09-15
2020-09-16,,3857.368109232915,-4.16578507671212e-07,6142.631891183665,2020-09-16
2020-09-17,,3857.368109091537,-5.113351469568966e-07,6142.631891419799,2020-09-17
2020-09-18,,3857.3681091052085,-5.021719432606185e-07,6142.631891396964,2020-09-18
2020-09-19,,3857.3681092689258,-3.9244280703117505e-07,6142.6318911235185,2020-09-19
2020-09-20,,3857.368109563808,-1.9480178088911134e-07,6142.631890630995,2020-09-20
2020-09-21,,3857.3681099571,6.87969603732786e-08,6142.6318899741045,2020-09-21
2020-09-22,,3857.3681104021693,3.6709910979195526e-07,6142.631889230733,2020-09-22
2020-09-23,,3857.3681108385094,6.59550228231123e-07,6142.631888501942,2020-09-23
2020-09-24,,3857.3681111917363,8.962957443832517e-07,6142.631887911969,2020-09-24
2020-09-25,,3857.36811137359,1.018180954769049e-06,6142.6318876082305,2020-09-25
2020-09-26,,3857.368111281936,9.5675102373748e-07,6142.631887761314,2020-09-26
2020-09-27,,3857.3681110227644,7.830446211431978e-07,6142.6318881941925,2020-09-27
2020-09-28,,3857.368110810384,6.406994420123387e-07,6142.631888548918,2020-09-28
